Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID
"End Day_Treatment End Date, Day_Intervention Exposure",End Day,"Treatment End Date, Day",What was the [study treatment/dose] (end) date? [Day] ,,Intervention Exposure,null,Mapping_Not_Found
"End Month_Treatment End Date, Month_Intervention Exposure",End Month,"Treatment End Date, Month",What was the [study treatment/dose] (end) date? [Month] ,,Intervention Exposure,null,Mapping_Not_Found
End Time_Treatment End Time_Intervention Exposure,End Time,Treatment End Time,What was the [study treatment/dose] (end) time?,,Intervention Exposure,null,Mapping_Not_Found
"End Year_Treatment End Date, Year_Intervention Exposure",End Year,"Treatment End Date, Year",What was the [study treatment/dose] (end) date? [Year] ,,Intervention Exposure,null,Mapping_Not_Found
Ongoing_Treatment Ongoing_Intervention Exposure,Ongoing,Treatment Ongoing,What was the [study treatment/dose] ongoing at the time of study discharge?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
"Start Day_Treatment Start Date, Day_Intervention Exposure",Start Day,"Treatment Start Date, Day",What was the [study treatment/dose] (start) date? [Day] ,,Intervention Exposure,null,Mapping_Not_Found
"Start Month_Treatment Start Date, Month_Intervention Exposure",Start Month,"Treatment Start Date, Month",What was the [study treatment/dose] (start) date? [Month] ,,Intervention Exposure,null,Mapping_Not_Found
Start Time_Treatment Start Time_Intervention Exposure,Start Time,Treatment Start Time,What was the [study treatment/dose] (start) time?,,Intervention Exposure,null,Mapping_Not_Found
"Start Year_Treatment Start Date, Year_Intervention Exposure",Start Year,"Treatment Start Date, Year",What was the [study treatment/dose] (start) date? [Year] ,,Intervention Exposure,null,Mapping_Not_Found
Study Site_Study Site Identifier_Intervention Exposure,Study Site,Study Site Identifier,,,Intervention Exposure,Study Site Identifier,YgFwJdEh0
Treatment Completed_Exposure Completed_Intervention Exposure,Treatment Completed,Exposure Completed,Did the subject complete the full course of [study treatment/dose]?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
"Treatment Completed, Reason_Exposure Reason for Not Completed_Intervention Exposure","Treatment Completed, Reason",Exposure Reason for Not Completed,What was the reason that the full course of [study treatment/dose] was not completed?,PARTICIPANT ENDED STUDY EARLY | INTERVENTION LOGISTICS | OUTPATIENT NON-COMPLIANCE | SAFETY CONCERNS | CLINICAL DETERIORATION | OTHER,Intervention Exposure,null,Mapping_Not_Found
Treatment Occurrence_Exposure Occurrence_Intervention Exposure,Treatment Occurrence,Exposure Occurrence,Was [study treatment/dose] administered?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
"Treatment Occurrence, Reason_Exposure Reason for No Occurrence_Intervention Exposure","Treatment Occurrence, Reason",Exposure Reason for No Occurrence,What was the reason that [study treatment/dose] did not occur?,PARTICIPANT ENDED STUDY PRIOR TO ADMINISTRATION | INTERVENTION LOGISTICS | OUTPATIENT NON-COMPLIANCE | SAFETY CONCERNS | CLINICAL DETERIORATION | OTHER,Intervention Exposure,null,Mapping_Not_Found
Treatment_Name of the treatment_Intervention Exposure,Treatment,Name of the treatment,What was the name of the treatment administered?,,Intervention Exposure,null,Mapping_Not_Found
"Treatment, Incomplete Doses_Number of Planned Doses that were Partial but Incomplete_Intervention Exposure","Treatment, Incomplete Doses",Number of Planned Doses that were Partial but Incomplete,How many planned exposures were administered at a partial dose during dosing interval?,,Intervention Exposure,null,Mapping_Not_Found
"Treatment, Missed Doses_Number of Planned Doses that were Missed_Intervention Exposure","Treatment, Missed Doses",Number of Planned Doses that were Missed,How many planned exposures were missed during the dosing interval?,,Intervention Exposure,null,Mapping_Not_Found
Anti-gout_Anti-Gout_Medical History,Anti-gout,Anti-Gout,Is the participant currently (within the last 3 weeks) receiving any anti-gout medications?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Anti-rejection medicine_Anti-rejection medicine_Medical History,Anti-rejection medicine,Anti-rejection medicine,Is the participant currently (within the last 3 weeks) receiving anti-rejection medicines following solid organ or stem cell transplant?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Antibacterial_Antibacterial_Medical History,Antibacterial,Antibacterial,Is the participant currently (within the last 3 weeks) receiving any antibacterial medications?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Antiretrovirals_Antiretrovirals_Medical History,Antiretrovirals,Antiretrovirals,Is the participant currently (within the last 3 weeks) taking ART/HAART for HIV/AIDS?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Atrial fibrillation_Atrial fibrillation_Medical History,Atrial fibrillation,Atrial fibrillation,Does the participant have atrial fibrillation?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Atrial flutter_Atrial flutter_Medical History,Atrial flutter,Atrial flutter,Does the participant have atrial flutter?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cannabis Abuse Frequency_Cannabis Abuse Frequency_Medical History,Cannabis Abuse Frequency,Cannabis Abuse Frequency,Indicate estimated frequency of cannabis substance abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Cannabis Abuse_Cannabis Abuse_Medical History,Cannabis Abuse,Cannabis Abuse,Does the participant engage in substance abuse (use of illegal drugs or prescription drugs in non-intended uses or doses) of cannabis?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cell-based Therapy_Cell-based therapy_Medical History,Cell-based Therapy,Cell-based therapy,Is the participant currently (within the last 3 weeks) receiving any cell-based therapies?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Cerebrovascular disease_Cerebrovascular disease_Medical History,Cerebrovascular disease,Cerebrovascular disease,"Does the participant have cerebrovascular disease (such as TIA, hemorrhagic or ischemic stroke)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
