Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID
Date of collection_Vital Signs Date_Vital Signs,Date of collection,Vital Signs Date,What was the date of the vital sign measurement?,,Vital Signs,Vital Signs Date and Time||Vital Signs Timepoint,J3qB_spuJO||R62LLauN_A
"Confusion, change in ability to think, change inability to interact with other people_Symptom confusion_Symptom Burden Outcomes","Confusion, change in ability to think, change inability to interact with other people",Symptom confusion,Has the participant experienced any confusion (such as change in ability to think or interact with other people) today? ,YES | NO,Symptom Burden Outcomes,null,Mapping_Not_Found
DyspneaRating_Dyspnea Rating_Symptom Burden Outcomes,DyspneaRating,Dyspnea Rating,What is the worst the participant’s dyspnea has been on this day? ,"NONE OR I ONLY GET BREATHLESS WITH STRENUOUS EXERCISE, WHEN HURRYING ON LEVEL GROUND OR WALKING UP A SLIGHT HILL | ON LEVEL GROUND, I WALK SLOWER THAN PEOPLE OF THE SAME AGE BECAUSE OF BREATHLESSNESS, OR I HAVE TO STOP FOR BREATH WHEN WALKING AT MY OWN PACE ON LEVEL GROUND | I STOP FOR BREATH AFTER WALKING ABOUT 100 YARDS OR AFTER A FEW MINUTES ON LEVEL GROUND | I AM TOO BREATHLESS TO LEAVE THE HOUSE OR I AM BREATHLESS WHEN DRESSING",Symptom Burden Outcomes,null,Mapping_Not_Found
FatigueRating_Fatigue Rating_Symptom Burden Outcomes,FatigueRating,Fatigue Rating,What is the worst the participant’s fatigue has been on this day? ,"AS FULLY ALERT AND WIDE AWAKE AS I WAS BEFORE BECOMING SICK | A LITTLE TIRED, LET DOWN | MODERATELY TO EXTREMELY TIRED, VERY DIFFICULT TO CONCENTRATE | COMPLETELY EXHAUSTED, UNABLE TO FUNCTION EFFECTIVELY",Symptom Burden Outcomes,null,Mapping_Not_Found
Functional status_Functional Status_Symptom Burden Outcomes,Functional status,Functional Status,What was the participant’s functional status on this day? ,ABLE TO CARRY OUT ALL USUAL ACTIVITIES WITHOUT HELP | ABLE TO LOOK AFTER OWN AFFAIRS WITHOUT ASSISTANCE BUT UNABLE TO CARRY OUT ALL PREVIOUS ACTIVITIES | REQUIRES HELP BUT CAN WALK WITHOUT ASSISTANCE | UNABLE TO WALK WITHOUT ASSISTANCE AND UNABLE TO TAKE CARE OF OWN BODILY NEEDS WITHOUT ASSISTANCE,Symptom Burden Outcomes,null,Mapping_Not_Found
Other COVID-related symptom_Symptom other_Symptom Burden Outcomes,Other COVID-related symptom,Symptom other,Has the participant been experiencing any other COVID-related symptoms today?,YES | NO,Symptom Burden Outcomes,Self-Reported COVID-19 Symptom Specify Other Type,t_ZhY49HPQ
Symptom burden_Symptom burden_Symptom Burden Outcomes,Symptom burden,Symptom burden,How many symptoms of COVID-19 did the patient have on this day?,"[DERIVE: ""NO SYMPTOMS DUE TO MY COVID-19 DIAGNOSIS"" IF COUNT(OF ALL SYMXXXX )=0  |  ""I HAVE EXPERIENCED MORE THAN 1 BUT LESS THAN 5 SYMPTOMS OF COVID-19"" IF COUNT(OF ALL SYMXXXX )= 1, 2, 3, 4   | = ""I AM EXPERIENCING BETWEEN 5 TO 9 SYMPTOMS OF COVID-19"" IF COUNT(OF ALL SYMXXXX )= 5, 6, 7, 8, 9 |= ""I HAVE 10 OR MORE SYMPTOMS OF COVID-19"" IF COUNT(OF ALL SYMXXXX ) >= 10]",Symptom Burden Outcomes,null,Mapping_Not_Found
Upper respiratory (nose/sinus/throat) congestion_Symptom upper respiratory congestion_Symptom Burden Outcomes,Upper respiratory (nose/sinus/throat) congestion,Symptom upper respiratory congestion,Has the participant been had any upper respiratory (nose/sinus/throat) congestion today? ,YES | NO,Symptom Burden Outcomes,null,Mapping_Not_Found
COVID-19 Convalescing Vaccination_COVID-19 Vaccine Convalescing_Vaccinations,COVID-19 Convalescing Vaccination,COVID-19 Vaccine Convalescing,Was this COVID-19 vaccine dose administered to the participant following or while recovering from an active COVID-19 infection?,YES | NO | UNKNOWN,Vaccinations,null,Mapping_Not_Found
COVID-19 Country of Vaccination_Country of Vaccination_Vaccinations,COVID-19 Country of Vaccination,Country of Vaccination,In which country was this COVID-19 vaccine dose administered?,,Vaccinations,null,Mapping_Not_Found
