Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID
Pregnancy_Pregnancy_Medical History,Pregnancy,Pregnancy,Is the participant currently pregnant?,NO | YES | UNKNOWN,Medical History,Current Pregnancy Indicator,LiUWCWluP
NSAIDS_NSAIDS_Medical History,NSAIDS,NSAIDS,"Is the participant currently (within the last 3 weeks) receiving NSAIDS, other than aspirin?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Obesity_Obesity_Medical History,Obesity,Obesity,Is the participant obese (BMI ≥ 30.0)?,NO | YES | UNKNOWN,Medical History,Comorbidity or Underlying Condition Type,t4KS6j8lZq
Opioid Abuse Frequency_Opioid Abuse Frequency_Medical History,Opioid Abuse Frequency,Opioid Abuse Frequency,Indicate estimated frequency of opioid abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Opioid Abuse_Opioid Abuse_Medical History,Opioid Abuse,Opioid Abuse,Does the participant engage in substance abuse (use of illegal drugs or prescription drugs in non-intended uses or doses) of opioids?,NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Other arrhythmia_Other arrhythmia_Medical History,Other arrhythmia,Other arrhythmia,"Does the participant have other non-atrial arrhythmia (including ventricular tachycardia non-sustained, ventricular tachycardia sustained, ventricular fibrillation, other)",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Other substance Abuse frequency_Other substance Abuse frequency_Medical History,Other substance Abuse frequency,Other substance Abuse frequency,Indicate estimated frequency of other substance abuse,DAILY | EVERY WEEK | EVERY MONTH | NOT EVER | UNKNOWN,Medical History,null,Mapping_Not_Found
Peripheral vascular disease_Peripheral vascular disease_Medical History,Peripheral vascular disease,Peripheral vascular disease,"Does the participant have peripheral vascular disease (including intermittent claudication, acute arterial insufficiency with or without gangrene, those with lower extremity bypass or untreated thoracic or abdominal aneurysms measuring 6 cm or more)?",NO | YES | UNKNOWN,Medical History,null,Mapping_Not_Found
Prior (to current illness) oxygen support_Prior (to current illness) oxygen support_Medical History,Prior (to current illness) oxygen support,Prior (to current illness) oxygen support,Does the participant have a history of oxygen use (excluding sleep apnea devices) prior to becoming sick?,NO | YES | UNKNOWN,Medical History,Supplemental Oxygen Occurrence Indicator||Oxygen support,MdTTuSmDDX||Qq8gfg3DHO
"Prior (to current illness) oxygen support, frequency_Prior (to current illness) oxygen support, frequency_Medical History","Prior (to current illness) oxygen support, frequency","Prior (to current illness) oxygen support, frequency",Was prior oxygen use intermittent or chronic (all the time),CHRONIC | INTERMITTENT | UNKNOWN,Medical History,null,Mapping_Not_Found
